model_type,parameters,accuracy,auc-roc,auc-pr,time,"precision,recall,f1 at_1","precision,recall,f1 at_2","precision,recall,f1 at_5","precision,recall,f1 at_10","precision,recall,f1 at_20","precision,recall,f1 at_30","precision,recall,f1 at_50"
RF,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 10, 'n_jobs': -1}",0.8728662420382166,0.8448488251889499,0.5594678189678591,0.48256778717041016,"(0.7435897435897436, 0.047775947281713346, 0.08978328173374614)","(0.7564102564102564, 0.09719934102141681, 0.17226277372262774)","(0.7551020408163265, 0.24382207578253706, 0.3686176836861768)","(0.6581632653061225, 0.42504118616144976, 0.5165165165165165)","(0.4929936305732484, 0.6375617792421746, 0.5560344827586207)","(0.39847068819031434, 0.7726523887973641, 0.5257847533632287)","(0.27522935779816515, 0.8896210873146623, 0.42039704165044767)"
RF,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100, 'n_jobs': -1}",0.8736305732484076,0.8509927379289046,0.5650834444981034,0.9558570384979248,"(0.7948717948717948, 0.051070840197693576, 0.09597523219814241)","(0.7564102564102564, 0.09719934102141681, 0.17226277372262774)","(0.7448979591836735, 0.24052718286655683, 0.36363636363636365)","(0.6581632653061225, 0.42504118616144976, 0.5165165165165165)","(0.4980891719745223, 0.6441515650741351, 0.5617816091954022)","(0.3976210705182668, 0.771004942339374, 0.5246636771300448)","(0.27675840978593275, 0.8945634266886326, 0.4227325807707279)"
RF,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 10, 'n_jobs': -1}",0.8756687898089172,0.8455536323761461,0.5601689885997009,0.3593888282775879,"(0.7435897435897436, 0.047775947281713346, 0.08978328173374614)","(0.7435897435897436, 0.09555189456342669, 0.16934306569343066)","(0.7551020408163265, 0.24382207578253706, 0.3686176836861768)","(0.6607142857142857, 0.42668863261943984, 0.5185185185185185)","(0.5044585987261146, 0.6523887973640856, 0.5689655172413793)","(0.3959218351741716, 0.7677100494233937, 0.5224215246636771)","(0.27573904179408765, 0.8912685337726524, 0.4211755546905411)"
RF,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100, 'n_jobs': -1}",0.8733757961783439,0.8505289901917851,0.5653404338977862,0.9347608089447021,"(0.7692307692307693, 0.04942339373970346, 0.09287925696594428)","(0.7692307692307693, 0.09884678747940692, 0.17518248175182483)","(0.75, 0.24217462932454695, 0.36612702366127026)","(0.6505102040816326, 0.4200988467874794, 0.5105105105105104)","(0.49171974522292994, 0.6359143327841845, 0.5545977011494253)","(0.39847068819031434, 0.7726523887973641, 0.5257847533632287)","(0.27726809378185524, 0.8962108731466227, 0.4235110938108213)"
RF,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 10, 'n_jobs': -1}",0.8743949044585987,0.8521990282151274,0.5650332176435081,0.3499481678009033,"(0.7692307692307693, 0.04942339373970346, 0.09287925696594428)","(0.7435897435897436, 0.09555189456342669, 0.16934306569343066)","(0.7602040816326531, 0.24546952224052718, 0.3711083437110835)","(0.6505102040816326, 0.4200988467874794, 0.5105105105105104)","(0.5019108280254777, 0.6490939044481054, 0.5660919540229885)","(0.39422259983007646, 0.7644151565074135, 0.5201793721973094)","(0.2793068297655454, 0.9028006589785832, 0.42662514597119505)"
RF,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100, 'n_jobs': -1}",0.8736305732484076,0.8499483124845459,0.5627904570536512,1.0376269817352295,"(0.7948717948717948, 0.051070840197693576, 0.09597523219814241)","(0.7435897435897436, 0.09555189456342669, 0.16934306569343066)","(0.7551020408163265, 0.24382207578253706, 0.3686176836861768)","(0.6530612244897959, 0.42174629324546953, 0.5125125125125125)","(0.49936305732484076, 0.6457990115321252, 0.5632183908045977)","(0.3976210705182668, 0.771004942339374, 0.5246636771300448)","(0.27675840978593275, 0.8945634266886326, 0.4227325807707279)"
RF,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 10, 'n_jobs': -1}",0.8736305732484076,0.8512715327408882,0.555234135194103,0.35271620750427246,"(0.7692307692307693, 0.04942339373970346, 0.09287925696594428)","(0.7564102564102564, 0.09719934102141681, 0.17226277372262774)","(0.7448979591836735, 0.24052718286655683, 0.36363636363636365)","(0.6479591836734694, 0.4184514003294893, 0.5085085085085085)","(0.5044585987261146, 0.6523887973640856, 0.5689655172413793)","(0.39932030586236195, 0.7742998352553542, 0.5269058295964126)","(0.27879714576962283, 0.9011532125205931, 0.4258466329311016)"
RF,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 100, 'n_jobs': -1}",0.8743949044585987,0.8509120537669326,0.5639968458765747,0.925771951675415,"(0.7948717948717948, 0.051070840197693576, 0.09597523219814241)","(0.7564102564102564, 0.09719934102141681, 0.17226277372262774)","(0.7551020408163265, 0.24382207578253706, 0.3686176836861768)","(0.6556122448979592, 0.4233937397034596, 0.5145145145145146)","(0.4980891719745223, 0.6441515650741351, 0.5617816091954022)","(0.3967714528462192, 0.7693574958813838, 0.5235426008968609)","(0.2777777777777778, 0.8978583196046128, 0.42428960685091477)"
RF,"{'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 10, 'n_jobs': -1}",0.859108280254777,0.7952834273241758,0.4406842320282459,0.5560541152954102,"(0.6410256410256411, 0.04118616144975288, 0.07739938080495355)","(0.7435897435897436, 0.09555189456342669, 0.16934306569343066)","(0.6683673469387755, 0.2158154859967051, 0.32627646326276466)","(0.6198979591836735, 0.400329489291598, 0.48648648648648646)","(0.48280254777070064, 0.6243822075782537, 0.5445402298850575)","(0.36618521665250636, 0.7100494233937397, 0.4831838565022421)","(0.2889908256880734, 0.9341021416803954, 0.44141689373297)"
RF,"{'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100, 'n_jobs': -1}",0.8647133757961784,0.8257961913103407,0.5145424457842865,2.0636682510375977,"(0.7435897435897436, 0.047775947281713346, 0.08978328173374614)","(0.7564102564102564, 0.09719934102141681, 0.17226277372262774)","(0.6887755102040817, 0.22240527182866557, 0.33623910336239105)","(0.6045918367346939, 0.3904448105436573, 0.4744744744744745)","(0.47770700636942676, 0.6177924217462932, 0.5387931034482759)","(0.38402718776550554, 0.7446457990115322, 0.5067264573991032)","(0.2711518858307849, 0.8764415156507414, 0.4141689373297003)"
RF,"{'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 10, 'n_jobs': -1}",0.8731210191082802,0.8307012918403239,0.5421814378777261,0.47391796112060547,"(0.8974358974358975, 0.057660626029654036, 0.10835913312693499)","(0.7692307692307693, 0.09884678747940692, 0.17518248175182483)","(0.7142857142857143, 0.23064250411861614, 0.3486924034869241)","(0.6377551020408163, 0.41186161449752884, 0.5005005005005004)","(0.4751592356687898, 0.6144975288303131, 0.5359195402298851)","(0.37553101104502973, 0.728171334431631, 0.4955156950672645)","(0.2686034658511723, 0.8682042833607908, 0.4102763721292332)"
RF,"{'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100, 'n_jobs': -1}",0.8736305732484076,0.8447753405368152,0.55639936990092,1.8364641666412354,"(0.8461538461538461, 0.054365733113673806, 0.10216718266253871)","(0.7948717948717948, 0.10214168039538715, 0.18102189781021896)","(0.7142857142857143, 0.23064250411861614, 0.3486924034869241)","(0.6454081632653061, 0.41680395387149916, 0.5065065065065065)","(0.4802547770700637, 0.6210873146622735, 0.5416666666666667)","(0.38657604078164826, 0.7495881383855024, 0.5100896860986547)","(0.2782874617737003, 0.899505766062603, 0.4250681198910081)"
RF,"{'max_depth': 50, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 10, 'n_jobs': -1}",0.8659872611464968,0.8116255698784425,0.4785945741119173,0.4693460464477539,"(0.7692307692307693, 0.04942339373970346, 0.09287925696594428)","(0.8846153846153846, 0.11367380560131796, 0.20145985401459854)","(0.7602040816326531, 0.24546952224052718, 0.3711083437110835)","(0.6530612244897959, 0.42174629324546953, 0.5125125125125125)","(0.4878980891719745, 0.6309719934102141, 0.5502873563218391)","(0.3797790994052676, 0.7364085667215815, 0.5011210762331839)","(0.30835881753312944, 0.9967051070840197, 0.47100038925652005)"
RF,"{'max_depth': 50, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100, 'n_jobs': -1}",0.8670063694267516,0.8263105838752826,0.5147527730646456,2.1327481269836426,"(0.7435897435897436, 0.047775947281713346, 0.08978328173374614)","(0.7435897435897436, 0.09555189456342669, 0.16934306569343066)","(0.6938775510204082, 0.22405271828665568, 0.3387297633872976)","(0.6122448979591837, 0.3953871499176277, 0.4804804804804805)","(0.4751592356687898, 0.6144975288303131, 0.5359195402298851)","(0.3857264231096007, 0.7479406919275123, 0.5089686098654708)","(0.273190621814475, 0.8830313014827018, 0.4172829894900739)"
RF,"{'max_depth': 50, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 10, 'n_jobs': -1}",0.870063694267516,0.8325279812673719,0.5352502793657795,0.47483205795288086,"(0.7435897435897436, 0.047775947281713346, 0.08978328173374614)","(0.7307692307692307, 0.09390444810543658, 0.16642335766423358)","(0.7142857142857143, 0.23064250411861614, 0.3486924034869241)","(0.6147959183673469, 0.3970345963756178, 0.4824824824824825)","(0.48662420382165605, 0.6293245469522241, 0.5488505747126436)","(0.38402718776550554, 0.7446457990115322, 0.5067264573991032)","(0.2711518858307849, 0.8764415156507414, 0.4141689373297003)"
RF,"{'max_depth': 50, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 100, 'n_jobs': -1}",0.8774522292993631,0.8418051703404028,0.5511374769927049,1.7299399375915527,"(0.7435897435897436, 0.047775947281713346, 0.08978328173374614)","(0.7307692307692307, 0.09390444810543658, 0.16642335766423358)","(0.7397959183673469, 0.23887973640856672, 0.36114570361145704)","(0.6530612244897959, 0.42174629324546953, 0.5125125125125125)","(0.49044585987261147, 0.6342668863261944, 0.5531609195402298)","(0.3882752761257434, 0.7528830313014827, 0.5123318385650224)","(0.2742099898063201, 0.886326194398682, 0.4188400155702608)"
LR,"{'C': 1e-05, 'penalty': 'l1'}",0.8453503184713376,0.48417647041299366,0.1444997368228389,0.06710982322692871,"(0.3333333333333333, 0.0214168039538715, 0.04024767801857585)","(0.16666666666666666, 0.0214168039538715, 0.03795620437956205)","(0.09693877551020408, 0.03130148270181219, 0.047322540473225407)","(0.11989795918367346, 0.07742998352553541, 0.09409409409409408)","(0.1375796178343949, 0.17792421746293247, 0.15517241379310343)","(0.14103653355989804, 0.27347611202635913, 0.1860986547085202)","(0.13863404689092762, 0.44810543657331137, 0.21175554690541065)"
LR,"{'C': 1e-05, 'penalty': 'l2'}",0.8453503184713376,0.5987489734492007,0.21541515303116138,0.30473899841308594,"(0.46153846153846156, 0.029654036243822075, 0.05572755417956656)","(0.2692307692307692, 0.03459637561779242, 0.061313868613138686)","(0.2193877551020408, 0.07084019769357495, 0.10709838107098382)","(0.21428571428571427, 0.13838550247116968, 0.16816816816816815)","(0.2267515923566879, 0.2932454695222405, 0.25574712643678155)","(0.2183517417162277, 0.4233937397034596, 0.2881165919282511)","(0.19317023445463813, 0.6243822075782537, 0.2950564421954068)"
LR,"{'C': 0.001, 'penalty': 'l1'}",0.8514649681528662,0.7599668524636722,0.43651276152916485,0.0785529613494873,"(0.717948717948718, 0.04612850082372323, 0.086687306501548)","(0.7307692307692307, 0.09390444810543658, 0.16642335766423358)","(0.7091836734693877, 0.22899505766062603, 0.34620174346201743)","(0.5510204081632653, 0.35584843492586493, 0.43243243243243246)","(0.34394904458598724, 0.44481054365733114, 0.3879310344827586)","(0.32710280373831774, 0.6342668863261944, 0.4316143497757848)","(0.2436289500509684, 0.7874794069192751, 0.3721292331646555)"
LR,"{'C': 0.001, 'penalty': 'l2'}",0.8654777070063694,0.7953487194306331,0.49613757252112695,0.1257781982421875,"(0.7692307692307693, 0.04942339373970346, 0.09287925696594428)","(0.7435897435897436, 0.09555189456342669, 0.16934306569343066)","(0.7346938775510204, 0.2372322899505766, 0.3586550435865504)","(0.6045918367346939, 0.3904448105436573, 0.4744744744744745)","(0.4178343949044586, 0.5403624382207578, 0.471264367816092)","(0.3415463041631266, 0.6622734761120264, 0.45067264573991034)","(0.2619775739041794, 0.8467874794069192, 0.4001557026080187)"
LR,"{'C': 0.1, 'penalty': 'l1'}",0.8738853503184714,0.8542561019569759,0.5656228651124984,0.20969510078430176,"(0.7692307692307693, 0.04942339373970346, 0.09287925696594428)","(0.7564102564102564, 0.09719934102141681, 0.17226277372262774)","(0.7397959183673469, 0.23887973640856672, 0.36114570361145704)","(0.6632653061224489, 0.42833607907743, 0.5205205205205206)","(0.49171974522292994, 0.6359143327841845, 0.5545977011494253)","(0.3925233644859813, 0.7611202635914333, 0.5179372197309418)","(0.27675840978593275, 0.8945634266886326, 0.4227325807707279)"
LR,"{'C': 0.1, 'penalty': 'l2'}",0.8738853503184714,0.8533593905937658,0.5642729321852034,0.14184021949768066,"(0.7692307692307693, 0.04942339373970346, 0.09287925696594428)","(0.7564102564102564, 0.09719934102141681, 0.17226277372262774)","(0.7397959183673469, 0.23887973640856672, 0.36114570361145704)","(0.6607142857142857, 0.42668863261943984, 0.5185185185185185)","(0.4929936305732484, 0.6375617792421746, 0.5560344827586207)","(0.39167374681393374, 0.7594728171334432, 0.5168161434977578)","(0.27675840978593275, 0.8945634266886326, 0.4227325807707279)"
LR,"{'C': 1, 'penalty': 'l1'}",0.8749044585987261,0.8543315726807896,0.5651571407310747,0.0891568660736084,"(0.7692307692307693, 0.04942339373970346, 0.09287925696594428)","(0.7564102564102564, 0.09719934102141681, 0.17226277372262774)","(0.7397959183673469, 0.23887973640856672, 0.36114570361145704)","(0.6632653061224489, 0.42833607907743, 0.5205205205205206)","(0.49044585987261147, 0.6342668863261944, 0.5531609195402298)","(0.3925233644859813, 0.7611202635914333, 0.5179372197309418)","(0.27726809378185524, 0.8962108731466227, 0.4235110938108213)"
LR,"{'C': 1, 'penalty': 'l2'}",0.8743949044585987,0.854072886844559,0.5650387008744823,0.1604170799255371,"(0.7692307692307693, 0.04942339373970346, 0.09287925696594428)","(0.7564102564102564, 0.09719934102141681, 0.17226277372262774)","(0.7397959183673469, 0.23887973640856672, 0.36114570361145704)","(0.6632653061224489, 0.42833607907743, 0.5205205205205206)","(0.49171974522292994, 0.6359143327841845, 0.5545977011494253)","(0.39167374681393374, 0.7594728171334432, 0.5168161434977578)","(0.27726809378185524, 0.8962108731466227, 0.4235110938108213)"
LR,"{'C': 10, 'penalty': 'l1'}",0.8751592356687898,0.8543320691987095,0.5651609891705084,0.08450675010681152,"(0.7692307692307693, 0.04942339373970346, 0.09287925696594428)","(0.7564102564102564, 0.09719934102141681, 0.17226277372262774)","(0.7397959183673469, 0.23887973640856672, 0.36114570361145704)","(0.6632653061224489, 0.42833607907743, 0.5205205205205206)","(0.49044585987261147, 0.6342668863261944, 0.5531609195402298)","(0.39167374681393374, 0.7594728171334432, 0.5168161434977578)","(0.27726809378185524, 0.8962108731466227, 0.4235110938108213)"
LR,"{'C': 10, 'penalty': 'l2'}",0.8743949044585987,0.8539442887033236,0.5646903088854782,0.1648261547088623,"(0.7692307692307693, 0.04942339373970346, 0.09287925696594428)","(0.7564102564102564, 0.09719934102141681, 0.17226277372262774)","(0.7397959183673469, 0.23887973640856672, 0.36114570361145704)","(0.6632653061224489, 0.42833607907743, 0.5205205205205206)","(0.49171974522292994, 0.6359143327841845, 0.5545977011494253)","(0.39167374681393374, 0.7594728171334432, 0.5168161434977578)","(0.27726809378185524, 0.8962108731466227, 0.4235110938108213)"
DT,"{'criterion': 'gini', 'max_depth': 1, 'min_samples_split': 2}",0.8652229299363058,0.6328994759749874,0.29807089132457243,0.03990292549133301,"(1.0, 0.0642504118616145, 0.12074303405572755)","(1.0, 0.128500823723229, 0.22773722627737225)","(0.9183673469387755, 0.29654036243822074, 0.44831880448318806)","(0.7397959183673469, 0.47775947281713343, 0.5805805805805806)","(0.7732484076433122, 1.0, 0.8721264367816093)","(0.5157179269328802, 1.0, 0.6804932735426009)","(0.30937818552497454, 1.0, 0.47255741533670687)"
DT,"{'criterion': 'gini', 'max_depth': 1, 'min_samples_split': 5}",0.8652229299363058,0.6328994759749874,0.29807089132457243,0.04076814651489258,"(1.0, 0.0642504118616145, 0.12074303405572755)","(1.0, 0.128500823723229, 0.22773722627737225)","(0.9183673469387755, 0.29654036243822074, 0.44831880448318806)","(0.7397959183673469, 0.47775947281713343, 0.5805805805805806)","(0.7732484076433122, 1.0, 0.8721264367816093)","(0.5157179269328802, 1.0, 0.6804932735426009)","(0.30937818552497454, 1.0, 0.47255741533670687)"
DT,"{'criterion': 'gini', 'max_depth': 1, 'min_samples_split': 10}",0.8652229299363058,0.6328994759749874,0.29807089132457243,0.039891958236694336,"(1.0, 0.0642504118616145, 0.12074303405572755)","(1.0, 0.128500823723229, 0.22773722627737225)","(0.9183673469387755, 0.29654036243822074, 0.44831880448318806)","(0.7397959183673469, 0.47775947281713343, 0.5805805805805806)","(0.7732484076433122, 1.0, 0.8721264367816093)","(0.5157179269328802, 1.0, 0.6804932735426009)","(0.30937818552497454, 1.0, 0.47255741533670687)"
DT,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 2}",0.8736305732484076,0.8326220714131795,0.5039824851598154,0.07953786849975586,"(0.7435897435897436, 0.047775947281713346, 0.08978328173374614)","(0.8717948717948718, 0.11202635914332784, 0.19854014598540146)","(0.8061224489795918, 0.2602965403624382, 0.3935242839352428)","(0.6989795918367347, 0.4514003294892916, 0.5485485485485485)","(0.6178343949044586, 0.7990115321252059, 0.69683908045977)","(0.41206457094307564, 0.7990115321252059, 0.5437219730941705)","(0.29561671763506625, 0.9555189456342669, 0.45153756325418454)"
DT,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 5}",0.8736305732484076,0.8326220714131795,0.5039824851598154,0.08162689208984375,"(0.7435897435897436, 0.047775947281713346, 0.08978328173374614)","(0.8717948717948718, 0.11202635914332784, 0.19854014598540146)","(0.8061224489795918, 0.2602965403624382, 0.3935242839352428)","(0.6989795918367347, 0.4514003294892916, 0.5485485485485485)","(0.6178343949044586, 0.7990115321252059, 0.69683908045977)","(0.41206457094307564, 0.7990115321252059, 0.5437219730941705)","(0.29561671763506625, 0.9555189456342669, 0.45153756325418454)"
